keyword,tier,category,active,notes,id,createdAt,updatedAt
hunt you down,C,VIOLENCE / PHYSICAL THREATS,true,,155,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
hunting you down,C,VIOLENCE / PHYSICAL THREATS,true,,156,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
hurt her,C,VIOLENCE / PHYSICAL THREATS,true,,157,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
hurt him,C,VIOLENCE / PHYSICAL THREATS,true,,158,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
hurt them,C,VIOLENCE / PHYSICAL THREATS,true,,159,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
hurt you,C,VIOLENCE / PHYSICAL THREATS,true,,160,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
injure,C,VIOLENCE / PHYSICAL THREATS,true,,161,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
injured,C,VIOLENCE / PHYSICAL THREATS,true,,162,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
injures,C,VIOLENCE / PHYSICAL THREATS,true,,163,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
injuring,C,VIOLENCE / PHYSICAL THREATS,true,,164,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
kill,C,VIOLENCE / PHYSICAL THREATS,true,,165,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
killed,C,VIOLENCE / PHYSICAL THREATS,true,,166,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
killing,C,VIOLENCE / PHYSICAL THREATS,true,,167,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
kills,C,VIOLENCE / PHYSICAL THREATS,true,,168,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
knife,C,VIOLENCE / PHYSICAL THREATS,true,,169,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
knives,C,VIOLENCE / PHYSICAL THREATS,true,,170,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
murder,C,VIOLENCE / PHYSICAL THREATS,true,,171,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
murdered,C,VIOLENCE / PHYSICAL THREATS,true,,172,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
murdering,C,VIOLENCE / PHYSICAL THREATS,true,,173,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
murders,C,VIOLENCE / PHYSICAL THREATS,true,,174,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
punch,C,VIOLENCE / PHYSICAL THREATS,true,,175,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
punched,C,VIOLENCE / PHYSICAL THREATS,true,,176,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
punches,C,VIOLENCE / PHYSICAL THREATS,true,,177,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
punching,C,VIOLENCE / PHYSICAL THREATS,true,,178,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
set fire,C,VIOLENCE / PHYSICAL THREATS,true,,179,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
shoot,C,VIOLENCE / PHYSICAL THREATS,true,,180,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
shooting,C,VIOLENCE / PHYSICAL THREATS,true,,181,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
shoots,C,VIOLENCE / PHYSICAL THREATS,true,,182,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
shot,C,VIOLENCE / PHYSICAL THREATS,true,,183,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
stab,C,VIOLENCE / PHYSICAL THREATS,true,,184,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
stabbed,C,VIOLENCE / PHYSICAL THREATS,true,,185,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
stabbing,C,VIOLENCE / PHYSICAL THREATS,true,,186,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
stabs,C,VIOLENCE / PHYSICAL THREATS,true,,187,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
strangle,C,VIOLENCE / PHYSICAL THREATS,true,,188,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
strangled,C,VIOLENCE / PHYSICAL THREATS,true,,189,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
strangles,C,VIOLENCE / PHYSICAL THREATS,true,,190,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
strangling,C,VIOLENCE / PHYSICAL THREATS,true,,191,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
violence,C,VIOLENCE / PHYSICAL THREATS,true,,192,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
violent,C,VIOLENCE / PHYSICAL THREATS,true,,193,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
weapon,C,VIOLENCE / PHYSICAL THREATS,true,,194,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
weapons,C,VIOLENCE / PHYSICAL THREATS,true,,195,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
bank investigation,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,196,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
bank investigations,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,197,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
call my bank,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,198,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
call my card issuer,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,199,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
call my credit card company,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,200,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
call the bank,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,201,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
called my bank,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,202,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
called my card issuer,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,203,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
called my credit card company,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,204,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
called the bank,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,205,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
calling my bank,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,206,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
calling my card issuer,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,207,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
calling my credit card company,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,208,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
calling the bank,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,209,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
chargeback,A,BANK / CARD / PAYMENT DISPUTE / CHARGEBACK,true,,210,2026-09-14T15:14:10.161Z,2026-09-14T15:14:10.161Z
